id,type,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
158,GU,157,1,NAT,NA,NA,3,NA,8,G3_01H,3
159,GU,158,1,NAT,NA,NA,4,NA,3,G3_01H,3
160,GU,159,1,NAT,NA,NA,6,0.15,3,G3_01H,3
161,GU,152,0,NAT,NA,NA,0,0.574,18,G3_01G,3
162,GU,161,0,NAT,NA,NA,0,NA,10,NA,3
163,GU,162,1,NAT,NA,NA,1,NA,4,G3_01G,3
164,GU,163,0,NAT,NA,NA,10,0.229,9,G3_01G,3
165,GU,163,0,2020-09-12,1,1,7,0.2745,9,G3_01G,3
166,GU,161,0,NAT,NA,NA,1,0.1625,8,G3_01G,3
167,scaffold,0,0,NaT,NA,NA,0,7.96,72,NA,3
168,scaffold,167,0,NaT,NA,NA,0,5.57,135,NA,3
169,undefined,168,1,NaT,NA,NA,0,4.1,20,NA,3
170,GU,169,1,NaT,NA,NA,0,3.0775,18,NA,3
171,branch_empty,170,0,NaT,NA,NA,0,2.75,NA,NA,3
172,GU,170,0,NaT,NA,NA,0,2.908,20,NA,3
173,branch,172,0,2020-09-12,4,4,NA,1.7405,NA,NA,3
174,GU,172,0,NaT,NA,NA,0,1.796,16,NA,3
175,GU,172,0,NaT,NA,NA,0,2.1895,7,NA,3
176,GU,175,1,NaT,NA,NA,0,NA,10,NA,3
177,GU,176,1,NaT,NA,NA,0,NA,7,NA,3
178,GU,177,1,NaT,NA,NA,0,NA,15,NA,3
179,GU,178,0,NaT,NA,NA,0,1.4635,13,NA,3
180,GU,178,0,NaT,NA,NA,0,NA,17,NA,3
181,GU,180,1,NaT,NA,NA,0,NA,3,NA,3
182,GU,181,1,NaT,NA,NA,0,NA,10,NA,3
183,GU,182,1,NaT,NA,NA,0,NA,7,NA,3
184,GU,183,0,NaT,NA,NA,0,NA,10,NA,3
185,GU,184,0,NaT,NA,NA,8,NA,10,G3_04E,3
186,GU,184,0,NaT,NA,NA,9,NA,7,G3_04E,3
187,GU,184,0,NaT,NA,NA,8,NA,8,G3_04E,3
188,GU,183,0,NaT,NA,NA,1,NA,11,G3_04E,3
189,GU,188,0,NaT,NA,NA,10,NA,7,G3_04E,3
190,GU,189,1,NaT,NA,NA,2,0.1355,2,G3_04E,3
191,GU,188,0,NaT,NA,NA,6,0.153,8,G3_04E,3
192,GU,188,0,NaT,NA,NA,5,0.1515,6,G3_04E,3
193,GU,183,0,NaT,NA,NA,0,NA,10,NA,3
194,GU,193,1,NaT,NA,NA,8,NA,8,G3_04E,3
195,GU,194,1,NaT,NA,NA,11,0.2255,10,G3_04E,3
196,GU,193,0,NaT,NA,NA,8,NA,7,G3_04E,3
197,GU,196,1,NaT,NA,NA,8,0.2165,8,G3_04E,3
198,GU,178,0,NaT,NA,NA,0,NA,13,NA,3
199,GU,198,1,NaT,NA,NA,0,NA,8,NA,3
200,GU,199,1,NaT,NA,NA,0,NA,12,NA,3
201,GU,200,0,NaT,NA,NA,0,NA,10,NA,3
202,GU,201,1,NaT,NA,NA,2,NA,8,G3_04E,3
203,GU,202,0,NaT,NA,NA,0,NA,7,NA,3
204,GU,203,1,NaT,NA,NA,12,NA,10,G3_04E,3
205,GU,204,1,2020-09-12,2,2,14,0.27,14,G3_04E,3
206,GU,202,0,NaT,NA,NA,1,NA,5,G3_04E,3
207,GU,206,1,NaT,NA,NA,12,NA,8,G3_04E,3
208,GU,207,1,NaT,NA,NA,13,0.27,12,G3_04E,3
209,GU,200,0,NaT,NA,NA,0,NA,10,NA,3
210,GU,209,1,NaT,NA,NA,2,NA,6,G3_04E,3
211,GU,210,0,NaT,NA,NA,1,NA,6,G3_04E,3
212,GU,211,1,NaT,NA,NA,8,NA,8,G3_04E,3
213,GU,212,1,NaT,NA,NA,10,0.215,11,G3_04E,3
214,GU,210,0,NaT,NA,NA,4,NA,7,G3_04E,3
215,GU,214,1,NaT,NA,NA,10,NA,11,G3_04E,3
216,GU,215,1,NaT,NA,NA,13,0.239,12,G3_04E,3
217,GU,200,0,NaT,NA,NA,0,NA,10,NA,3
218,GU,217,0,NaT,NA,NA,3,NA,10,G3_04E,3
219,GU,218,1,NaT,NA,NA,12,NA,10,G3_04E,3
220,GU,219,1,NaT,NA,NA,10,0.2315,12,G3_04E,3
221,GU,217,0,NaT,NA,NA,0,NA,10,NA,3
222,GU,221,1,NaT,NA,NA,5,NA,13,G3_04E,3
223,GU,222,1,NaT,NA,NA,16,0.307,17,G3_04E,3
224,GU,180,0,NaT,NA,NA,0,NA,11,NA,3
225,GU,224,1,NaT,NA,NA,8,0.1755,5,G3_04E,3
226,GU,180,0,NaT,NA,NA,0,NA,6,NA,3
227,GU,226,1,NaT,NA,NA,0,NA,3,NA,3
228,GU,227,1,NaT,NA,NA,6,0.1515,4,G3_04E,3
229,branch,175,0,NaT,NA,NA,NA,0.395,NA,NA,3
230,branch,175,0,NaT,NA,NA,NA,0.115,NA,NA,3
231,GU,185,1,NaT,NA,NA,6,0.212,8,G3_04E,3
232,GU,186,1,NaT,NA,NA,6,0.2385,6,G3_04E,3
233,GU,187,1,NaT,NA,NA,6,0.225,7,G3_04E,3
234,GU,179,1,NaT,NA,NA,0,NA,6,NA,3
235,GU,234,1,NaT,NA,NA,0,NA,9,NA,3
236,GU,235,1,NaT,NA,NA,0,NA,9,NA,3
237,GU,236,1,NaT,NA,NA,4,1.2355,11,G3_04D,3
238,GU,237,0,NaT,NA,NA,4,NA,13,G3_06A,3
239,GU,238,1,NaT,NA,NA,4,NA,14,G3_06A,3
240,GU,239,1,NaT,NA,NA,17,NA,15,G3_06A,3
241,GU,240,1,2020-09-12,2,2,18,0.399,19,G3_06A,3
242,GU,240,0,NaT,NA,NA,8,0.1975,11,G3_06A,3
243,GU,237,0,NaT,NA,NA,3,0.884,18,G3_04A,3
244,GU,243,0,NaT,NA,NA,2,NA,10,G3_04A,3
245,GU,244,1,NaT,NA,NA,15,NA,15,G3_04A,3
246,GU,245,1,2020-09-12,1,1,18,0.437,20,G3_04A,3
247,GU,237,0,NaT,NA,NA,5,NA,12,G3_04B,3
248,GU,247,1,NaT,NA,NA,2,NA,7,G3_04B,3
249,GU,248,1,NaT,NA,NA,14,NA,9,G3_04B,3
250,GU,249,1,NaT,NA,NA,1,0.219,9,G3_04B,3
251,GU,237,0,NaT,NA,NA,5,NA,12,G3_04C,3
252,GU,251,1,NaT,NA,NA,3,NA,6,G3_04C,3
253,GU,252,1,NaT,NA,NA,14,NA,8,G3_04C,3
254,GU,253,1,2020-09-12,1,1,6,0.2105,7,G3_04C,3
255,GU,235,0,NaT,NA,NA,0,NA,4,NA,3
256,GU,255,1,NaT,NA,NA,0,NA,3,NA,3
257,GU,256,1,NaT,NA,NA,11,0.2545,11,G3_04D,3
258,GU,179,0,NaT,NA,NA,0,NA,7,NA,3
259,GU,258,1,NaT,NA,NA,0,NA,4,NA,3
260,GU,259,1,NaT,NA,NA,5,NA,7,G3_05A,3
261,GU,260,1,2020-09-12,1,1,8,0.226,5,G3_05A,3
262,GU,174,0,NaT,NA,NA,0,1.445,10,NA,3
263,GU,262,1,NaT,NA,NA,0,NA,6,NA,3
264,GU,263,1,NaT,NA,NA,0,NA,15,NA,3
265,GU,264,1,NaT,NA,NA,0,1.274,17,NA,3
266,GU,265,0,NaT,NA,NA,7,0.2295,14,G3_07D,3
267,GU,265,0,NaT,NA,NA,9,0.2905,14,G3_07D,3
268,GU,265,0,NaT,NA,NA,7,0.241,12,G3_07D,3
269,GU,265,0,NaT,NA,NA,8,0.2535,16,G3_07D,3
270,GU,265,0,NaT,NA,NA,0,NA,2,NA,3
271,GU,270,1,NaT,NA,NA,0,NA,10,NA,3
272,GU,271,0,NaT,NA,NA,0,NA,5,NA,3
273,GU,272,1,NaT,NA,NA,16,0.2595,12,G3_07D,3
274,GU,271,0,NaT,NA,NA,1,NA,6,G3_07D,3
275,GU,274,1,NaT,NA,NA,6,0.178,5,G3_07D,3
276,GU,264,0,NaT,NA,NA,0,0.664,7,NA,3
277,GU,276,0,NaT,NA,NA,0,NA,6,NA,3
278,GU,277,1,NaT,NA,NA,0,NA,10,NA,3
279,GU,278,1,NaT,NA,NA,0,NA,4,NA,3
280,GU,279,1,NaT,NA,NA,4,NA,5,G3_07B,3
281,GU,280,1,NaT,NA,NA,12,NA,12,G3_07B,3
282,GU,281,1,NaT,NA,NA,9,0.203,5,G3_07B,3
283,GU,276,0,NaT,NA,NA,0,NA,5,NA,3
284,GU,283,1,NaT,NA,NA,2,NA,14,G3_07A,3
285,GU,284,1,NaT,NA,NA,2,NA,4,G3_07A,3
286,GU,285,1,NaT,NA,NA,10,NA,8,G3_07A,3
287,GU,286,1,NaT,NA,NA,10,NA,14,G3_07A,3
288,GU,287,1,NaT,NA,NA,16,NA,10,G3_07A,3
289,GU,288,1,2020-09-12,1,1,15,0.359,15,G3_07A,3
290,GU,174,0,NaT,NA,NA,0,0.7415,5,NA,3
291,GU,290,1,NaT,NA,NA,0,NA,7,NA,3
292,GU,291,1,NaT,NA,NA,0,NA,6,NA,3
293,GU,292,0,NaT,NA,NA,3,NA,12,G3_07C,3
294,GU,293,1,NaT,NA,NA,3,NA,5,G3_07C,3
295,GU,294,1,NaT,NA,NA,7,0.1885,4,G3_07C,3
296,GU,292,0,NaT,NA,NA,0,NA,10,NA,3
297,GU,296,1,NaT,NA,NA,1,0.2475,10,G3_07C,3
298,GU,292,0,NaT,NA,NA,0,NA,10,NA,3
299,GU,298,1,NaT,NA,NA,0,NA,11,NA,3
300,GU,299,1,NaT,NA,NA,4,NA,5,G3_07C,3
301,GU,300,1,NaT,NA,NA,4,NA,10,G3_07C,3
302,GU,301,1,NaT,NA,NA,8,NA,7,G3_07C,3
303,GU,302,1,NaT,NA,NA,7,NA,5,G3_07C,3
304,GU,303,1,NaT,NA,NA,8,0.241,10,G3_07C,3
305,scaffold,167,0,NaT,NA,NA,0,6.85,87,NA,3
306,scaffold,305,0,NaT,NA,NA,0,5.061,30,NA,3
307,scaffold,305,0,NaT,NA,NA,0,6.05,30,NA,3
308,scaffold,306,1,NaT,NA,NA,0,4.5,20,NA,3
309,multiple_GU,308,0,NaT,NA,NA,0,4.35,41,NA,3
310,multiple_GU,309,0,NaT,NA,NA,0,3.6,18,NA,3
311,branch_empty,309,0,NaT,NA,NA,0,0.9,NA,NA,3
312,multiple_GU,310,1,NaT,NA,NA,0,2.85,18,NA,3
313,GU,310,0,NaT,NA,NA,0,2.27,9,NA,3
314,GU,312,0,NaT,NA,NA,0,2.5065,15,NA,3
315,branch_empty,312,0,NaT,NA,NA,0,2.4,NA,NA,3
316,GU,308,0,NaT,NA,NA,0,2.9695,9,NA,3
317,GU,314,0,NaT,NA,NA,0,NA,16,NA,3
318,GU,317,0,NaT,NA,NA,0,1.9085,10,NA,3
319,GU,318,1,NaT,NA,NA,0,NA,10,NA,3
320,GU,319,1,NaT,NA,NA,0,NA,12,NA,3
321,GU,320,0,NaT,NA,NA,0,1.27,9,NA,3
322,branch,320,0,NaT,NA,NA,NA,0.498,NA,NA,3
323,branch,320,0,2020-09-12,7,7,NA,1.272,NA,NA,3
324,GU,320,0,NaT,NA,NA,0,NA,15,NA,3
325,GU,324,1,NaT,NA,NA,0,1.102,9,NA,3
326,branch,325,0,NaT,NA,NA,NA,0.1985,NA,NA,3
327,branch,325,0,NaT,NA,NA,NA,0.194,NA,NA,3
328,branch,325,0,NaT,NA,NA,NA,0.134,NA,NA,3
329,branch,324,0,NaT,NA,NA,NA,0.366,NA,NA,3
330,branch,324,0,2020-09-12,3,3,NA,1.012,NA,NA,3
331,GU,313,1,NaT,NA,NA,0,NA,24,NA,3
332,GU,331,0,NaT,NA,NA,0,NA,9,NA,3
333,GU,332,1,NaT,NA,NA,0,NA,7,NA,3
334,GU,333,1,NaT,NA,NA,0,NA,6,NA,3
335,GU,334,1,NaT,NA,NA,0,NA,10,NA,3
336,GU,335,0,NaT,NA,NA,0,0.905,15,NA,3
337,branch,335,0,NaT,NA,NA,NA,0.4735,NA,G3_16D,3
338,branch,335,0,NaT,NA,NA,NA,0.5365,NA,G3_16E,3
339,branch,335,0,NaT,NA,NA,NA,0.8955,NA,G3_16F,3
340,GU,331,0,NaT,NA,NA,0,1.5475,5,NA,3
341,GU,340,1,NaT,NA,NA,0,NA,7,NA,3
342,GU,341,1,NaT,NA,NA,0,NA,7,NA,3
343,GU,342,1,NaT,NA,NA,0,NA,14,NA,3
344,GU,343,1,NaT,NA,NA,0,1.0965,16,NA,3
345,branch,343,0,NaT,NA,NA,NA,0.859,NA,G3_13F,3
346,branch,343,0,NaT,NA,NA,NA,0.648,NA,G3_13E,3
347,branch,343,0,NaT,NA,NA,NA,0.3635,NA,G3_13D,3
348,GU,336,1,NaT,NA,NA,0,NA,11,NA,3
349,GU,348,0,NaT,NA,NA,0,NA,11,NA,3
350,GU,349,1,NaT,NA,NA,0,NA,6,NA,3
351,GU,350,1,NaT,NA,NA,3,NA,9,G3_16B,3
352,GU,351,1,NaT,NA,NA,13,NA,10,G3_16B,3
353,GU,352,1,NaT,NA,NA,17,NA,19,G3_16B,3
354,GU,353,1,NaT,NA,NA,13,NA,15,G3_16A,3
355,GU,354,1,2020-09-12,1,1,18,0.438,22,G3_16A,3
356,GU,354,0,NaT,NA,NA,3,0.1795,10,G3_16A,3
357,GU,353,0,NaT,NA,NA,5,NA,10,G3_16A,3
358,GU,357,1,2020-09-12,1,1,11,0.291,15,G3_16A,3
359,GU,350,0,NaT,NA,NA,1,NA,8,G3_11C,3
360,GU,359,0,NaT,NA,NA,9,0.2,9,G3_11C,3
361,GU,359,0,NaT,NA,NA,6,0.1435,7,G3_11C,3
362,GU,359,0,NaT,NA,NA,6,0.183,9,G3_11C,3
363,GU,349,0,NaT,NA,NA,0,NA,7,NA,3
364,GU,362,0,NaT,NA,NA,8,0.1825,8,G3_11C,3
365,GU,349,0,NaT,NA,NA,3,NA,9,G3_11C,3
366,GU,365,1,NaT,NA,NA,8,0.1855,7,G3_11C,3
367,GU,344,0,NaT,NA,NA,0,NA,7,NA,3
368,GU,367,1,NaT,NA,NA,0,NA,13,NA,3
369,GU,368,0,NaT,NA,NA,0,NA,5,NA,3
370,GU,369,1,NaT,NA,NA,0,0.9345,4,G3_13C,3
371,GU,370,0,NaT,NA,NA,0,NA,9,NA,3
372,GU,371,1,NaT,NA,NA,10,NA,8,G3_13C,3
373,GU,372,1,NaT,NA,NA,12,NA,14,G3_13C,3
374,GU,373,0,NaT,NA,NA,8,0.2725,10,G3_13C,3
375,GU,373,0,NaT,NA,NA,5,0.157,6,G3_13C,3
376,GU,373,0,NaT,NA,NA,2,NA,5,G3_13C,3
377,GU,376,1,NaT,NA,NA,5,0.145,5,G3_13C,3
378,GU,368,0,NaT,NA,NA,0,NA,3,NA,3
379,GU,378,1,NaT,NA,NA,0,NA,14,NA,3
380,GU,379,1,NaT,NA,NA,0,NA,15,NA,3
381,GU,380,0,NaT,NA,NA,8,NA,14,G3_13B,3
382,GU,381,1,NaT,NA,NA,11,NA,12,G3_13B,3
383,GU,382,1,NaT,NA,NA,14,0.3375,19,G3_13B,3
384,GU,380,0,NaT,NA,NA,6,0.192,12,G3_13B,3
385,GU,380,0,NaT,NA,NA,10,NA,14,G3_13B,3
386,GU,385,1,NaT,NA,NA,11,NA,8,G3_13B,3
387,GU,386,0,NaT,NA,NA,11,0.2775,17,G3_13B,3
388,GU,386,0,NaT,NA,NA,8,0.2325,11,G3_13B,3
389,GU,380,0,NaT,NA,NA,6,NA,13,G3_13A,3
390,GU,389,1,NaT,NA,NA,7,NA,6,G3_13A,3
391,GU,390,1,2020-09-12,1,1,14,0.3225,15,G3_13A,3
392,GU,321,1,NaT,NA,NA,0,NA,2,NA,3
393,GU,392,1,NaT,NA,NA,0,NA,10,NA,3
394,GU,393,0,NaT,NA,NA,0,NA,14,NA,3
395,GU,393,0,NaT,NA,NA,0,NA,17,NA,3
396,GU,395,1,NaT,NA,NA,1,0.2185,6,G3_14C,3
397,GU,395,0,NaT,NA,NA,3,0.1345,3,G3_14C,3
398,GU,393,0,NaT,NA,NA,0,NA,14,NA,3
399,GU,398,1,NaT,NA,NA,1,NA,3,G3_14C,3
400,GU,399,1,2020-09-12,1,1,7,0.2485,6,G3_14C,3
401,GU,393,0,NaT,NA,NA,0,NA,21,NA,3
402,GU,401,0,NaT,NA,NA,0,NA,5,NA,3
403,GU,402,0,NaT,NA,NA,2,0.2835,10,G3_14B,3
404,GU,402,0,NaT,NA,NA,0,NA,5,NA,3
405,GU,404,1,NaT,NA,NA,5,NA,15,G3_14B,3
406,GU,405,0,NaT,NA,NA,4,0.132,6,G3_14A,3
407,GU,405,0,2020-09-12,1,1,8,0.236,10,G3_14A,3
408,GU,405,0,NaT,NA,NA,0,NA,6,NA,3
409,GU,408,1,2020-09-12,2,2,14,0.3225,13,G3_14A,3
410,GU,408,0,NaT,NA,NA,7,0.188,11,G3_14A,3
411,GU,401,0,NaT,NA,NA,1,NA,9,G3_14B,3
412,GU,411,1,NaT,NA,NA,7,NA,17,G3_14B,3
413,GU,412,0,NaT,NA,NA,16,NA,15,G3_15A,3
414,GU,413,0,2020-09-12,1,1,9,0.3435,16,G3_15A,3
415,GU,413,0,2020-09-12,1,1,16,0.3675,21,G3_15A,3
416,GU,412,0,NaT,NA,NA,6,0.176,7,G3_15A,3
417,GU,412,0,NaT,NA,NA,9,NA,12,G3_15A,3
418,GU,417,0,NaT,NA,NA,16,0.4155,22,G3_15A,3
419,GU,417,0,NaT,NA,NA,9,0.3185,18,G3_15A,3
420,GU,412,0,NaT,NA,NA,7,NA,10,G3_15A,3
421,GU,420,1,NaT,NA,NA,12,0.3465,21,G3_15A,3
422,GU,393,0,NaT,NA,NA,0,NA,16,NA,3
423,GU,422,1,NaT,NA,NA,0,NA,5,NA,3
424,GU,423,1,NaT,NA,NA,4,0.7815,6,G3_14D,3
425,GU,424,0,NaT,NA,NA,7,NA,12,G3_14D,3
426,GU,424,0,NaT,NA,NA,9,NA,12,G3_14D,3
427,GU,424,0,NaT,NA,NA,7,NA,12,G3_14D,3
428,GU,427,1,NaT,NA,NA,10,NA,12,G3_14D,3
429,GU,428,1,NaT,NA,NA,8,0.2495,9,G3_14D,3
430,GU,316,1,NaT,NA,NA,0,NA,21,NA,3
431,GU,430,1,NaT,NA,NA,0,NA,15,NA,3
432,GU,431,1,NaT,NA,NA,0,NA,17,NA,3
433,GU,432,1,NaT,NA,NA,0,2.5305,18,NA,3
434,GU,433,0,NaT,NA,NA,0,NA,14,NA,3
435,GU,434,1,NaT,NA,NA,0,2.0025,19,NA,3
436,GU,433,0,NaT,NA,NA,0,NA,4,NA,3
437,GU,436,1,NaT,NA,NA,0,NA,9,NA,3
438,GU,437,1,NaT,NA,NA,0,1.7275,18,NA,3
439,GU,438,0,NaT,NA,NA,0,1.5425,23,NA,3
440,branch,438,0,NaT,NA,NA,NA,0.5765,NA,G3_11E,3
441,branch,438,0,NaT,NA,NA,NA,0.8115,NA,G3_11F,3
442,GU,435,1,NaT,NA,NA,0,NA,15,NA,3
443,GU,442,1,NaT,NA,NA,0,NA,11,NA,3
444,GU,443,1,NaT,NA,NA,0,NA,15,NA,3
445,GU,446,1,NaT,NA,NA,0,NA,8,NA,3
446,GU,444,0,NaT,NA,NA,0,1.424,15,NA,3
447,branch,444,0,2020-09-12,2,2,NA,0.627,NA,G3_09F,3
448,branch,444,0,NaT,NA,NA,NA,0.4015,NA,G3_09E,3
449,branch,443,0,NaT,NA,NA,NA,0.4455,NA,G3_09D,3
450,GU,435,0,NaT,NA,NA,0,1.219,21,NA,3
451,branch,435,0,NaT,NA,NA,NA,0.739,NA,G3_08C,3
452,GU,445,1,NaT,NA,NA,1,1.058,20,G3_10B,3
453,GU,452,0,NaT,NA,NA,8,0.513,16,G3_10B,3
454,GU,453,1,NaT,NA,NA,7,NA,14,G3_10B,3
455,GU,454,1,NaT,NA,NA,13,NA,16,G3_10B,3
456,GU,455,1,2020-09-12,1,1,15,0.3725,13,G3_10B,3
457,GU,452,0,NaT,NA,NA,11,0.632,15,G3_10A,3
458,GU,457,1,NaT,NA,NA,9,NA,14,G3_10A,3
459,GU,458,1,NaT,NA,NA,11,NA,15,G3_10A,3
460,GU,459,1,2020-09-12,2,2,14,0.3265,15,G3_10A,3
461,GU,458,0,NaT,NA,NA,10,0.2165,13,G3_10A,3
462,GU,452,0,NaT,NA,NA,7,NA,19,G3_09B,3
463,GU,462,1,NaT,NA,NA,4,NA,16,G3_09B,3
464,GU,463,0,NaT,NA,NA,10,NA,16,G3_09B,3
465,GU,464,1,NaT,NA,NA,10,0.249,11,G3_09B,3
466,GU,463,0,NaT,NA,NA,9,NA,18,G3_09C,3
467,GU,466,1,NaT,NA,NA,14,0.276,15,G3_09C,3
468,GU,463,0,NaT,NA,NA,14,NA,22,G3_09C,3
469,GU,468,1,NaT,NA,NA,16,0.3095,18,G3_09C,3
470,GU,463,0,NaT,NA,NA,3,NA,13,G3_09A,3
471,GU,470,1,2020-09-12,2,2,10,0.273,10,G3_09A,3
472,GU,463,0,NaT,NA,NA,13,NA,20,G3_09A,3
473,GU,472,0,NaT,NA,NA,10,0.216,15,G3_09A,3
474,GU,472,0,NaT,NA,NA,11,0.267,15,G3_09A,3
475,GU,472,0,NaT,NA,NA,8,0.277,18,G3_09A,3
476,GU,472,0,2020-09-12,1,1,10,0.325,20,G3_09A,3
477,GU,462,0,NaT,NA,NA,0,NA,8,NA,3
478,GU,477,1,NaT,NA,NA,15,NA,18,G3_09C,3
479,GU,478,1,NaT,NA,NA,7,0.1865,8,G3_09C,3
480,GU,446,0,NaT,NA,NA,0,NA,3,NA,3
481,GU,480,1,NaT,NA,NA,0,0.815,18,NA,3
482,GU,481,0,NaT,NA,NA,11,0.521,16,G3_10C,3
483,GU,482,1,NaT,NA,NA,8,NA,14,G3_10C,3
484,GU,483,1,NaT,NA,NA,4,NA,18,G3_10C,3
485,GU,484,1,2020-09-12,1,1,7,0.217,8,G3_10C,3
486,GU,481,0,NaT,NA,NA,9,0.3545,16,G3_10D,3
487,GU,486,1,NaT,NA,NA,11,NA,11,G3_10D,3
488,GU,487,1,2020-09-12,1,1,0,0.2575,9,G3_10D,3
489,GU,481,0,NaT,NA,NA,4,0.2575,13,G3_10D,3
490,GU,456,1,NaT,NA,NA,0,NA,13,NA,3
491,GU,490,0,NaT,NA,NA,0,0.4975,8,G3_08B,3
492,GU,491,0,NaT,NA,NA,0,NA,6,NA,3
493,GU,492,1,NaT,NA,NA,5,NA,15,G3_08B,3
494,GU,493,0,2020-09-12,2,2,6,0.2405,8,G3_08B,3
495,GU,490,0,NaT,NA,NA,0,1.05,15,NA,3
496,GU,495,1,NaT,NA,NA,0,NA,12,NA,3
497,GU,496,0,NaT,NA,NA,9,0.2675,12,G3_08A,3
498,GU,496,0,NaT,NA,NA,0,0.4215,7,NA,3
499,GU,498,1,NaT,NA,NA,0,NA,14,NA,3
500,GU,499,1,NaT,NA,NA,13,NA,11,G3_08A,3
501,GU,500,1,2020-09-12,2,2,11,0.278,8,G3_08A,3
502,GU,439,1,NaT,NA,NA,0,NA,15,NA,3
503,GU,502,1,NaT,NA,NA,0,NA,17,NA,3
504,GU,503,1,NaT,NA,NA,0,1.2885,11,G3_02A,3
505,GU,504,0,NaT,NA,NA,0,0.634,4,G3_02A,3
506,GU,505,1,NaT,NA,NA,0,NA,12,NA,3
507,GU,506,1,NaT,NA,NA,11,NA,13,G3_02A,3
508,GU,507,1,NaT,NA,NA,10,NA,9,G3_02A,3
509,GU,508,1,NaT,NA,NA,6,NA,12,G3_02A,3
510,GU,509,1,2020-09-12,1,1,14,0.2815,11,G3_02A,3
511,GU,506,0,NaT,NA,NA,8,0.2535,9,G3_02A,3
512,GU,506,0,NaT,NA,NA,5,0.2015,8,G3_02A,3
513,GU,506,0,NaT,NA,NA,8,0.2055,10,G3_02A,3
514,GU,503,0,NaT,NA,NA,0,NA,7,NA,3
515,GU,514,1,NaT,NA,NA,0,0.6915,4,NA,3
516,GU,515,0,NaT,NA,NA,0,NA,6,NA,3
517,GU,516,1,NaT,NA,NA,1,0.5955,14,G3_37B,3
518,GU,517,0,NaT,NA,NA,5,NA,12,G3_37B,3
519,GU,518,1,NaT,NA,NA,9,NA,9,G3_37B,3
520,GU,519,1,NaT,NA,NA,12,NA,15,G3_37B,3
521,GU,520,1,NaT,NA,NA,11,0.2795,10,G3_37B,3
522,GU,514,0,NaT,NA,NA,0,NA,4,NA,3
523,GU,522,1,NaT,NA,NA,0,NA,10,NA,3
524,GU,523,1,NaT,NA,NA,4,NA,4,G3_37A,3
525,GU,524,1,2020-09-12,2,2,6,0.255,4,G3_37A,3
526,GU,502,0,NaT,NA,NA,0,NA,9,NA,3
527,GU,526,1,NaT,NA,NA,0,NA,3,NA,3
528,GU,527,0,NaT,NA,NA,0,NA,4,NA,3
529,GU,528,1,NaT,NA,NA,9,0.247,9,G3_11C,3
530,GU,502,0,NaT,NA,NA,0,NA,8,NA,3
531,GU,530,0,NaT,NA,NA,4,0.2145,8,G3_11C,3
532,GU,502,0,NaT,NA,NA,0,NA,9,NA,3
533,GU,532,1,NaT,NA,NA,0,NA,5,NA,3
534,GU,533,1,NaT,NA,NA,0,NA,4,NA,3
535,GU,534,1,NaT,NA,NA,1,NA,12,G3_11B,3
536,GU,535,1,NaT,NA,NA,11,NA,5,G3_11B,3
537,GU,536,1,NaT,NA,NA,7,NA,5,G3_11B,3
538,GU,537,1,NaT,NA,NA,7,NA,6,G3_11B,3
539,GU,538,1,NaT,NA,NA,10,0.186,6,G3_11B,3
540,GU,533,0,NaT,NA,NA,2,0.1685,6,G3_11B,3
541,GU,533,0,NaT,NA,NA,2,0.139,7,G3_11B,3
542,GU,502,0,NaT,NA,NA,0,NA,7,NA,3
543,GU,542,1,NaT,NA,NA,0,NA,3,NA,3
544,GU,543,1,NaT,NA,NA,5,NA,17,G3_11A,3
545,GU,544,1,NaT,NA,NA,5,NA,17,G3_11A,3
546,GU,545,1,NaT,NA,NA,14,NA,10,G3_11A,3
547,GU,546,1,NaT,NA,NA,7,NA,10,G3_11A,3
548,GU,547,1,NaT,NA,NA,15,NA,15,G3_11A,3
549,GU,548,1,NaT,NA,NA,15,0.304,16,G3_11A,3
550,GU,547,0,NaT,NA,NA,2,NA,10,G3_11D,3
551,GU,550,1,2020-09-12,1,1,9,0.269,12,G3_11D,3
552,scaffold,0,0,NAT,NA,NA,0,5.05,20,NA,3
553,scaffold,552,1,NAT,NA,NA,0,5.41,41,NA,3
554,scaffold,553,1,NAT,NA,NA,0,4.93,108,NA,3
555,scaffold,553,0,NAT,NA,NA,0,2.55,48,NA,3
556,scaffold,552,0,NAT,NA,NA,0,4.62,30,NA,3
557,scaffold,556,1,NAT,NA,NA,0,4.11,120,NA,3
558,scaffold,552,0,NAT,NA,NA,0,7.16,74,NA,3
559,branch_empty,1139,1,NAT,NA,NA,0,4.45,NA,NA,3
560,multiple_GU,1139,0,NAT,NA,NA,0,3.0525,53,NA,3
561,branch_empty,1139,0,NAT,NA,NA,0,2.25,NA,NA,3
562,GU,560,0,NAT,NA,NA,0,2.0735,10,NA,3
563,GU,560,0,NAT,NA,NA,0,3.0005,15,NA,3
564,GU,562,1,NAT,NA,NA,0,NA,11,NA,3
565,GU,564,1,NAT,NA,NA,0,NA,20,NA,3
566,GU,565,1,NAT,NA,NA,0,NA,10,NA,3
567,GU,566,1,NAT,NA,NA,0,NA,10,NA,3
568,GU,567,1,NAT,NA,NA,0,1.7095,12,NA,3
