id,type,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,environment_id,light_interception__sunlit_fraction_col
1062,branch_empty,1060,0,NAT,NA,NA,0,0.95,NA,NA,3
1063,branch_empty,1060,0,NAT,NA,NA,0,1.85,NA,NA,3
1064,GU,727,0,NAT,NA,NA,0,1.779,11,NA,3
1065,GU,1061,0,NAT,NA,NA,0,2.2995,18,NA,3
1066,GU,1065,0,NAT,NA,NA,0,NA,12,NA,3
1067,GU,1066,1,NAT,NA,NA,0,1.9895,8,NA,3
1068,branch,1065,0,NAT,NA,NA,NA,1.485,NA,NA,3
1069,branch,1061,0,NAT,NA,NA,NA,0.297,NA,NA,3
1070,GU,1067,1,NAT,NA,NA,0,NA,9,NA,3
1071,branch,1070,0,NAT,NA,NA,NA,0.37,NA,NA,3
1072,branch,1070,0,2020-09-12,1,1,NA,1.393,NA,NA,3
1073,branch,1070,0,2020-09-12,2,2,NA,1.2765,NA,NA,3
1074,GU,1067,0,NAT,NA,NA,0,0.9135,16,NA,3
1075,GU,1074,1,NAT,NA,NA,0,NA,7,NA,3
1076,GU,1075,1,NAT,NA,NA,3,NA,15,G3_35B,3
1077,GU,1076,1,NAT,NA,NA,6,NA,14,G3_35B,3
1078,GU,1077,1,NAT,NA,NA,12,NA,11,G3_35B,3
1079,GU,1078,0,2020-09-12,1,1,5,0.23,10,G3_35B,3
1080,GU,1078,0,2020-09-12,1,1,4,0.232,6,G3_35B,3
1081,GU,1078,0,NAT,NA,NA,6,0.239,8,G3_35B,3
1082,GU,1078,0,NAT,NA,NA,7,NA,13,G3_35B,3
1083,GU,1082,0,NAT,NA,NA,18,0.4145,20,G3_35A,3
1084,GU,1077,0,NAT,NA,NA,7,NA,9,G3_35B,3
1085,GU,1084,1,NAT,NA,NA,4,0.1675,6,G3_35B,3
1086,GU,1077,0,NAT,NA,NA,7,0.19,10,G3_35B,3
1087,GU,1064,1,NAT,NA,NA,0,NA,7,NA,3
1088,GU,1087,1,NAT,NA,NA,0,NA,6,NA,3
1089,GU,1088,1,NAT,NA,NA,0,NA,9,NA,3
1090,GU,1089,1,NAT,NA,NA,0,NA,9,NA,3
1091,GU,1090,1,NAT,NA,NA,0,NA,10,NA,3
1092,GU,1091,1,NAT,NA,NA,0,NA,7,NA,3
1093,GU,1092,0,NAT,NA,NA,0,NA,5,NA,3
1094,GU,1093,1,NAT,NA,NA,0,NA,5,NA,3
1095,GU,1094,1,NAT,NA,NA,0,NA,19,NA,3
1096,GU,1095,1,NAT,NA,NA,4,NA,4,G3_34A,3
1097,GU,1096,0,NAT,NA,NA,9,NA,10,G3_34A,3
1098,GU,1097,1,NAT,NA,NA,11,0.2805,7,G3_34A,3
1099,GU,1096,0,NAT,NA,NA,6,0.167,7,G3_34A,3
1100,GU,1096,0,NAT,NA,NA,16,0.2775,14,G3_34A,3
1101,GU,1094,0,NAT,NA,NA,2,0.2195,12,G3_34A,3
1102,GU,1091,0,NAT,NA,NA,0,NA,13,NA,3
